id|creationDate|locationIP|browserUsed|content|length|creator|place|replyOfPost|replyOfComment
68719476864|2011-07-26T16:48:13.253+0000|41.203.141.129|Firefox|fine|4|94|90|68719476859|
68719476865|2011-07-26T17:48:12.580+0000|27.34.96.255|Chrome|About D. H. Lawrence, works represent an extended reflection upon the dehuma.|77|7696581394520|88|68719476859|
68719476866|2011-07-23T06:23:17.620+0000|192.132.35.61|Firefox|cool|4|94|49|68719476861|
68719476867|2011-07-23T09:25:03.931+0000|78.157.31.166|Firefox|About Johnny Cash, the years, Cash also collaborated with many of the industry's.|81|94|38|68719476861|
68719476868|2011-07-23T21:59:18.970+0000|196.201.3.234|Firefox|About Shania Twain, musician in any genre, and the best-selling country album of al.|84|2199023255611|74|68719476861|
68719476869|2011-07-23T04:07:07.741+0000|24.40.206.125|Chrome|ok|2|7696581394520|57|68719476861|
68719476870|2011-07-23T12:02:37.095+0000|46.229.60.223|Firefox|About Agatha Christie, holds the record for the longest initial run: it opened.|79|2199023255611|106||68719476867
68719476871|2011-07-23T19:28:49.625+0000|27.98.244.93|Firefox|LOL|3|2199023255611|1||68719476867
68719476872|2011-07-23T16:31:46.091+0000|62.88.45.211|Chrome|About Gamal Abdel Nasser, badly damaged by the Israeli victory over the Arab armies.|84|7696581394520|64||68719476870
68719476873|2011-07-23T22:01:19.744+0000|118.82.247.65|Firefox|About Shania Twain, million, certified by the RIAA. Sometimes referred to as The. About This Used to Be My Playground, that summer, but in a shorter edit than an.|162|2199023255611|29||68719476868
68719476874|2011-07-23T22:09:05.524+0000|31.28.87.137|Chrome|cool|4|7696581394520|107||68719476868
68719476875|2011-07-23T23:15:19.795+0000|31.223.157.13|Firefox|LOL|3|2199023255611|6||68719476873
68719476876|2011-07-23T22:05:23.271+0000|193.169.241.240|Firefox|About This Used to Be My Playground, to Re. About Say What You Want, and re-released .|86|94|86||68719476873
68719476877|2011-07-24T01:14:18.711+0000|1.2.2.172|Firefox|great|5|2199023255611|1||68719476873
68719476878|2011-07-23T21:01:52.061+0000|1.0.15.231|Firefox|no way!|7|94|1||68719476870
68719476879|2011-07-24T08:54:02.536+0000|212.72.6.55|Firefox|cool|4|94|33||68719476873
68719476880|2011-07-23T05:28:12.928+0000|41.77.103.73|Firefox|About Sultanate of Rum, The Seljuqs became vassals of the Mongols, following the battle.|88|94|97|68719476861|
68719476881|2011-07-24T00:18:57.016+0000|178.209.14.38|Firefox|thanks|6|94|6||68719476872
68719476882|2011-07-24T14:25:05.499+0000|188.69.151.141|Chrome|thx|3|7696581394520|23||68719476873
68719476883|2011-07-23T17:37:44.183+0000|31.169.53.56|Chrome|right|5|7696581394520|107||68719476880
68719476884|2011-07-23T16:08:19.925+0000|31.222.89.32|Chrome|thanks|6|7696581394520|99||68719476870
111669149845|2012-06-10T22:03:06.498+0000|41.222.17.100|Chrome|About Joseph Haydn, trio and . About Socrates, not to b. About Sudan, called the Milit. .|89|10995116277851|110|111669149822|
120259084438|2012-06-11T16:06:32.014+0000|46.232.134.174|Internet Explorer|About Jean-Jacques Rousseau, novel Julie, ou la n. About Stanley Kubrick, and directing after gradua. About Sudan, Front, consists of 10,000 active m.|150|9895604649984|92||111669149845
120259084439|2012-06-11T02:45:12.391+0000|46.182.156.225|Firefox|no way!|7|94|81||111669149845
120259084440|2012-06-11T18:15:48.886+0000|80.66.165.45|Firefox|no way!|7|94|14||120259084438
111669149849|2012-06-10T04:36:22.677+0000|196.44.251.142|Chrome|ok|2|10995116277851|39|111669149822|
120259084442|2012-06-10T22:57:41.981+0000|120.28.68.60|Chrome|fine|4|7696581394520|55||111669149845
111669149851|2012-06-10T05:42:34.092+0000|27.121.124.178|Chrome|About Jawaharlal Nehru, of India’s independence m. About Desiderius Erasmus, called the crowning glo. About Robert A. Heinlein, standards of literar.|149|10995116277851|1|111669149822|
34359738524|2010-12-01T22:44:50.226+0000|14.206.234.154|Firefox|About Silla, also known to be the originator of the Korean family name Park (박, 朴), the d.|90|94|98|34359738495|
34359738525|2010-12-01T22:50:40.238+0000|195.38.22.117|Firefox|About Augustine of Hippo, the day of his. About Philip K. Dick, novels, Dick wro.|81|2199023255611|82|34359738495|
34359738526|2010-12-02T01:14:17.000+0000|124.248.191.126|Firefox|About Philip K. Dick, Although Dick spent mos. About Fugger, patriciate of Augsburg. About.|91|94|67||34359738525
34359738527|2010-12-02T00:17:09.664+0000|88.85.122.135|Firefox|About Augustine of Hippo, accommodating . About Toyotomi Hideyoshi, the Sengoku .|81|2199023255611|38|34359738495|
34359738528|2010-12-02T05:26:59.451+0000|190.107.12.24|Firefox|About Augustine of Hippo, w. About Felix Mendelssohn, hi. About Philip K. Dick, A.|82|2199023255611|71||34359738525
34359738529|2010-12-02T06:12:49.451+0000|212.38.159.31|Firefox|thx|3|94|18||34359738526
34359738530|2010-12-02T06:49:26.548+0000|79.99.62.6|Firefox|About Charles III of Spain, 1738 he married the Princess Maria Amalia of Saxony, an educated, cultu.|100|94|38||34359738526
42949673127|2010-12-20T13:40:00.949+0000|193.194.73.11|Internet Explorer|maybe|5|2199023255625|60|42949673123|
42949673128|2010-12-20T12:28:45.104+0000|202.1.48.194|Internet Explorer|About Arthur Conan Doyle, Arth. About Sylvester Stallone, film. About I Will Always Love Y.|91|2199023255625|35|42949673123|
42949673129|2010-12-20T12:14:20.075+0000|200.11.36.141|Internet Explorer|About Adam Smith. About Cyndi Lauper,. About Henry Mancini. About Jackie Chan.|78|2199023255633|91|42949673123|
