Person.id|Organisation.id|classYear
2199023255625|2207|2002
16492674416673|1596|2002
2199023255611|2207|2001
13194139533352|1856|2007
3298534883391|2833|2005
5497558138966|5065|2002
14293651161159|6169|2001
2199023255633|5061|2002
3298534883383|2442|2000
12094627905580|6006|2006
9895604650009|4692|2005
12094627905563|5823|2007
7696581394433|2948|2007
10995116277857|2207|2001
3298534883331|6005|2003
10995116277811|4959|2007
9895604650074|7932|2003
10995116277826|2209|1999
3298534883350|4761|2004
12094627905543|2209|2006
9895604650020|2208|2005
2199023255602|6465|2000
10995116277764|7977|2007
12094627905628|6168|2004
6597069766676|5055|2011
9895604650037|5287|2008
6597069766664|1580|2001
8796093022286|2986|2007
8796093022231|6836|2009
5497558138885|1953|2009
12094627905619|6029|2004
10995116277771|2212|2002
8796093022217|1785|2004
3298534883397|4781|2000
4398046511186|5166|2002
13194139533324|2438|2008
3298534883392|2390|2002
12094627905567|2835|2001
2199023255593|2210|2004
3298534883405|2830|2005
9895604650036|4761|2002
7696581394490|5017|2005
1099511627782|2243|2005
13194139533350|5059|2004
10995116277851|2208|2002
12094627905550|4612|2002
16492674416675|4948|2009
5497558138940|2839|2010
13194139533405|1605|2007
7696581394479|6378|2003
6597069766675|7994|2006
6597069766735|5885|2000
94|2215|2000
12094627905635|2207|2000
17592186044483|5545|2003
65|5010|2007
14293651161162|2299|2005
7696581394434|4536|2008
2199023255628|6231|2011
9895604650002|6204|2001
8796093022253|5255|2008
16492674416738|2215|2007
8796093022251|2214|2005
1099511627861|2206|2007
6597069766688|5066|2001
15393162788948|6656|2002
16492674416689|2208|2002
3298534883367|6004|2006
9895604650000|5828|2007
9895604649984|2211|2005
7696581394461|2215|2004
